City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,salalah,17.0151,54.0924,78.62,88,100,4.45,OM,1729130418
282,hami,42.8,93.45,61.16,30,99,6.91,CN,1729130419
283,margate,51.3813,1.3862,60.87,91,100,10.33,GB,1729130187
284,antonio enes,-16.2325,39.9086,73.6,78,95,14.34,MZ,1729130421
285,krasnik,50.9236,22.2271,39.52,72,12,10.6,PL,1729130334
286,acapulco de juarez,16.8634,-99.8901,76.6,86,31,7.99,MX,1729130192
287,goundam,16.4145,-3.6708,92.23,21,58,5.21,ML,1729130424
288,zhanaozen,43.3,52.8,50.09,34,91,15.17,KZ,1729130425
289,rio grande,-32.035,-52.0986,59.81,89,0,8.39,BR,1729130426
290,enewetak,11.3474,162.3373,83.82,76,100,16.33,MH,1729130427
291,xiaoweizhai,26.1903,107.5125,71.02,87,94,7.83,CN,1729130428
292,aasiaat,68.7098,-52.8699,11.57,82,7,9.48,GL,1729130429
293,durant,33.994,-96.3708,53.04,40,0,0.0,US,1729130431
294,paita,-5.0892,-81.1144,63.7,85,14,10.63,PE,1729130147
295,san patricio,28.017,-97.5169,69.75,59,6,14.18,US,1729130433
296,tshela,-4.9833,12.9333,73.08,96,100,2.04,CD,1729130434
297,forster,-32.1667,152.5167,69.39,80,0,9.31,AU,1729130435
298,rongelap,11.1635,166.8941,83.3,77,100,11.86,MH,1729130436
299,okhotsk,59.3833,143.3,27.41,41,95,24.72,RU,1729130437
300,villa bruzual,9.3328,-69.1208,77.59,83,100,1.28,VE,1729130438
301,tyuratam,45.6507,63.3156,40.66,73,60,4.52,KZ,1729130439
302,cidade velha,14.9167,-23.6167,79.27,83,75,9.22,CV,1729130440
303,mirny,62.5353,113.9611,9.14,77,95,7.7,RU,1729130441
304,akobo,7.4344,3.9497,71.65,98,100,2.48,NG,1729130442
305,richlands,37.0932,-81.7937,33.21,78,5,2.28,US,1729130443
306,champerico,14.3,-91.9167,81.46,75,0,2.53,GT,1729130444
307,darnah,32.767,22.6367,70.77,73,0,6.04,LY,1729130446
308,gadzhiyevo,69.2551,33.3362,34.7,92,65,11.21,RU,1729130448
309,port mathurin,-19.6833,63.4167,73.6,79,98,10.78,MU,1729130450
310,nueva guinea,11.6876,-84.4562,74.32,93,97,3.67,NI,1729130451
311,nueva concepcion,14.2,-91.3,76.46,91,14,2.95,GT,1729130452
312,haapsalu,58.9431,23.5414,47.01,90,100,12.8,EE,1729130454
313,puerto ayacucho,5.6639,-67.6236,75.99,90,23,4.14,VE,1729130455
314,al qubbah,32.7616,22.2424,60.01,87,0,5.7,LY,1729130457
315,pemba,-12.974,40.5178,77.7,94,75,15.59,MZ,1729130458
316,copala,16.65,-98.9833,78.8,89,35,6.62,MX,1729130459
317,alaghsas,17.0187,8.0168,84.24,14,7,7.29,NE,1729130460
318,nanning,22.8167,108.3167,77.45,69,43,9.04,CN,1729130462
319,el sauzal de rodriguez,31.9,-116.6833,63.41,80,7,3.87,MX,1729130463
320,lorengau,-2.0226,147.2712,85.64,69,64,3.76,PG,1729130464
321,bamboo flat,11.7,92.7167,80.69,89,40,2.3,IN,1729130465
322,utrik,11.2278,169.8474,83.55,77,95,14.23,MH,1729130467
